Godot Engine v4.7.stable.mono.official.5b4e0cb0f - https://godotengine.org

ERROR: Failed to read the root certificate store.
   at: get_system_ca_certificates (platform/windows/os_windows.cpp:2582)
EDITABLE_WALL_BAKE_ROOM_PASS: Room 01
EDITABLE_WALL_BAKE_ROOM_PASS: Room 02
EDITABLE_WALL_BAKE_ROOM_PASS: Room 03
EDITABLE_WALL_BAKE_ROOM_PASS: Room 04
EDITABLE_WALL_BAKE_ROOM_PASS: Room 05
EDITABLE_WALL_BAKE_ROOM_PASS: Room 06
EDITABLE_WALL_BAKE_ROOM_PASS: Room 07
EDITABLE_WALL_BAKE_ROOM_PASS: Room 08
EDITABLE_WALL_BAKE_ROOM_PASS: Room 09
EDITABLE_WALL_BAKE_ROOM_PASS: Room 10
EDITABLE_WALL_BAKE_ROOM_PASS: Room 11
EDITABLE_WALL_BAKE_ROOM_PASS: Room 12
EDITABLE_WALL_BAKE_ROOM_PASS: Room 13
EDITABLE_WALL_BAKE_ROOM_PASS: Room 14
EDITABLE_WALL_BAKE_ROOM_PASS: Room 15
EDITABLE_WALL_BAKE_ROOM_PASS: Room 16
EDITABLE_WALL_BAKE_ROOM_PASS: Room 17
EDITABLE_WALL_BAKE_ROOM_PASS: Room 18
EDITABLE_WALL_BAKE_ROOM_PASS: Room 19
EDITABLE_WALL_BAKE_ROOM_PASS: Room 20
EDITABLE_WALL_BAKE_ROOM_PASS: Room 21
EDITABLE_WALL_BAKE_ROOM_PASS: Room 22
EDITABLE_WALL_BAKE_ROOM_PASS: Room 23
EDITABLE_WALL_BAKE_ROOM_PASS: Room 24
EDITABLE_WALL_BAKE_ROOM_PASS: Room 25
EDITABLE_WALL_BAKE_ROOM_PASS: Room 26
EDITABLE_WALL_BAKE_ROOM_PASS: Room 27
EDITABLE_WALL_BAKE_ROOM_PASS: Room 28
EDITABLE_WALL_BAKE_ROOM_PASS: Room 29
EDITABLE_WALL_BAKE_ROOM_PASS: Room 30
EDITABLE_WALL_BAKE_PASS
