"Room","BeforeCorridorMeters","AfterCorridorMeters","AfterPocketMeters"
"1","0.3652372360229492","4.023313522338867E-07","7.897615432739258E-07"
"2","0.36524057388305664","4.023313522338867E-07","7.897615432739258E-07"
"3","0.36524486541748047","4.023313522338867E-07","7.897615432739258E-07"
"4","0.36524057388305664","4.023313522338867E-07","7.897615432739258E-07"
"5","0.36524486541748047","4.023313522338867E-07","7.897615432739258E-07"
"6","0.36524486541748047","4.023313522338867E-07","7.897615432739258E-07"
"7","0.36524057388305664","4.023313522338867E-07","7.897615432739258E-07"
"8","0.36524057388305664","4.023313522338867E-07","7.897615432739258E-07"
"9","0.36524486541748047","4.023313522338867E-07","6.839632987976074E-06"
"10","0.36524486541748047","4.023313522338867E-07","6.839632987976074E-06"
"11","0.36524486541748047","4.023313522338867E-07","6.839632987976074E-06"
"12","0.36524486541748047","4.023313522338867E-07","6.839632987976074E-06"
"13","0.36524486541748047","4.023313522338867E-07","7.897615432739258E-07"
"14","0.36524486541748047","4.023313522338867E-07","6.839632987976074E-06"
"15","0.36524486541748047","4.023313522338867E-07","6.839632987976074E-06"
"16","0.36524057388305664","4.023313522338867E-07","7.897615432739258E-07"
"17","0.3652372360229492","4.023313522338867E-07","7.897615432739258E-07"
"18","0.36524057388305664","4.023313522338867E-07","1.1920928955078125E-06"
"19","0.3652372360229492","4.023313522338867E-07","1.1920928955078125E-06"
"20","0.36524486541748047","4.023313522338867E-07","6.839632987976074E-06"
"21","0.36524057388305664","4.023313522338867E-07","7.897615432739258E-07"
"22","0.36524486541748047","4.023313522338867E-07","7.897615432739258E-07"
"23","0.36524486541748047","4.023313522338867E-07","7.897615432739258E-07"
"24","0.36524057388305664","4.023313522338867E-07","7.897615432739258E-07"
"25","0.36524486541748047","4.023313522338867E-07","7.897615432739258E-07"
"26","0.36524486541748047","4.023313522338867E-07","8.010864256391415E-07"
"27","0.36524486541748047","4.023313522338867E-07","7.897615432739258E-07"
"28","0.36524057388305664","4.023313522338867E-07","7.897615432739258E-07"
"29","0.3652379512786865","5.364418029785156E-07","1.475214958190918E-06"
"30","0.36522912979125977","4.023313522338867E-07","6.839632987976074E-06"
